rank,word,frequency
670,nor,46
671,middle,46
672,practice,46
673,real,46
674,prefect,46
675,mysteries,46
676,story,46
677,walls,46
678,worse,46
679,times,46
680,trees,46
681,vanished,46
682,trouble,45
683,giant,45
684,broom,45
685,backward,45
686,dropped,45
687,listening,45
688,return,45
689,spoke,45
690,whatever,45
691,firenze,45
692,portrait,45
693,met,45
694,fingers,45
695,horrible,45
696,running,44
697,daily,44
698,big,44
699,finally,44
700,golden,44
701,kingsley,44
702,question,44
703,reckon,44
704,slid,44
705,probably,44
706,expect,44
707,brain,44
708,dinner,44
709,bell,44
710,stomach,43
711,call,43
712,merely,43
713,laughed,43
714,held,43
715,snake,43
716,hour,43
717,flew,43
718,free,43
719,reading,43
720,true,43
721,windows,43
722,gold,43
723,barely,42
724,silent,42
725,somewhere,42
726,world,42
727,pitch,42
728,friend,42
729,eater,42
730,months,42
731,pair,42
732,laughing,42
733,covered,42
734,thinks,42
735,grounds,42
736,opposite,42
737,cedric,42
738,threw,42
739,azkaban,42
740,muggle,41
741,note,41
742,books,41
743,miss,41
744,detention,41
745,em,41
746,carrying,41
747,neither,41
748,creatures,41
749,heavily,41
750,sharply,41
751,eyebrows,41
752,halfway,41
753,important,41
754,less,41
755,figg,41
756,seeing,40
757,crabbe,40
758,everybody,40
759,plank,40
760,spells,40
761,blue,40
762,grubbly,40
763,today,40
764,lost,40
765,owls,40
766,chance,40
767,goyle,40
768,ahead,40
769,girl,40
770,eagerly,40
771,attempt,40
772,walk,39
773,phineas,39
774,sounded,39
775,firmly,39
776,impatiently,39
777,led,39
778,enormous,39
779,simply,39
780,happy,39
781,st,39
782,move,39
783,thin,39
784,laugh,39
785,pleased,39
786,notice,39
787,row,39
788,means,38
789,gray,38
790,aren,38
791,centaurs,38
792,potions,38
793,footsteps,38
794,attacked,38
795,stepped,38
796,occlumency,38
797,dunno,38
798,charm,38
799,tree,38
800,ear,37
801,tomorrow,37
802,hospital,37
803,anymore,37
804,mungo,37
805,immediately,37
806,except,37
807,attack,37
808,truth,37
809,marietta,37
810,subject,37
811,wish,37
812,allowed,37
813,bones,37
814,funny,37
815,expected,37
816,classroom,37
817,e,37
818,centaur,37
819,voices,36
820,cool,36
821,molly,36
822,repeated,36
823,grimmauld,36
824,sideways,36
825,meant,36
826,softly,36
827,afraid,36
828,sounding,36
829,yourself,36
830,dursleys,36
831,wands,36
832,snitch,36
833,died,36
834,nick,36
835,tonight,36
836,fer,36
837,near,36
838,information,35
839,broke,35
840,furiously,35
841,worried,35
842,quaffle,35
843,dangerous,35
844,clock,35
845,rose,35
846,hours,35
847,difficult,35
848,bedroom,35
849,paper,35
850,pale,35
851,thick,35
852,leapt,34
853,meet,34
854,myself,34
855,breakfast,34
856,anger,34
857,lift,34
858,known,34
859,worry,34
860,young,34
861,spent,34
862,book,34
863,thanks,34
864,ernie,34
865,catch,34
866,beaming,34
867,remembered,34
868,save,34
869,snapped,34
870,darkness,34
871,glasses,34
872,purple,34
873,third,34
874,sky,34
875,questions,34
876,reason,34
877,playing,33
878,dreams,33
879,dolores,33
880,nearest,33
881,pocket,33
882,points,33
883,show,33
884,wing,33
885,master,33
886,teachers,33
887,power,33
888,teach,33
889,bill,33
890,friends,33
891,keeping,33
892,sleep,33
893,indeed,33
894,seat,33
895,corridors,33
896,jumped,33
897,obviously,33
898,screamed,33
899,often,33
900,katie,33
901,following,33
902,attention,33
903,king,33
904,hem,33
905,knees,33
906,thank,33
907,badly,33
908,piece,33
909,rita,33
910,sank,32
911,box,32
912,drive,32
913,disappeared,32
914,early,32
915,picture,32
916,tightly,32
917,frowning,32
918,hastily,32
919,snarled,32
920,become,32
921,curse,32
922,wondered,32
923,upstairs,32
924,girls,32
925,strode,32
926,headmaster,32
927,hardly,32
928,cornelius,32
929,staircase,31
930,sit,31
931,clipboard,31
932,muttering,31
933,roared,31
934,trembling,31
935,cut,31
936,beneath,31
937,surprised,31
938,members,31
939,job,31
940,memory,31
941,grinning,31
942,mention,31
943,bright,31
944,pink,31
945,street,31
946,hats,31
947,wants,31
948,potion,31
949,weapon,31
950,level,31
951,bin,31
952,quiet,31
953,shortly,31
954,remained,31
955,lee,31
956,apart,30
957,happily,30
958,train,30
959,hold,30
960,faces,30
961,join,30
962,happen,30
963,ah,30
964,busy,30
965,hot,30
966,cabin,30
967,human,30
968,placed,30
969,different,30
970,cried,30
971,unless,30
972,writing,30
973,stuck,30
974,crookshanks,30
975,terrible,30
976,tea,30
977,fifth,30
978,putting,30
979,closer,30
980,step,30
981,part,30
982,afternoon,30
983,twelve,30
984,sometimes,30
985,water,30
986,dormitory,30
987,heavy,30
988,quick,29
989,wizarding,29
990,glared,29
991,slytherins,29
992,notes,29
993,among,29
994,written,29
995,tables,29
996,swung,29
997,tears,29
998,edge,29
999,conversation,29
1000,term,29
1001,son,29
1002,throwing,29
1003,quibbler,29
1004,bring,29
1005,pushed,29
1006,tha,29
1007,bellowed,29
1008,alive,29
1009,received,29
1010,perfectly,29
1011,month,29
1012,jus,29
1013,temper,29
1014,further,29
1015,clutching,29
1016,match,29
1017,sense,29
1018,lavender,29
1019,bound,29
1020,portraits,29
1021,aside,28
1022,exams,28
1023,growing,28
1024,brightly,28
1025,earth,28
1026,highly,28
1027,demanded,28
1028,ward,28
1029,flitwick,28
1030,rising,28
1031,surprise,28
1032,late,28
1033,alicia,28
1034,anxiously,28
1035,determined,28
1036,break,28
1037,single,28
1038,blank,28
1039,seven,28
1040,filled,28
1041,rain,28
1042,seriously,28
1043,staff,28
1044,landed,28
1045,force,28
1046,essay,28
1047,bent,28
1048,guard,28
1049,speaking,28
1050,emerged,28
1051,charms,28
1052,gasped,28
1053,food,28
1054,line,28
1055,working,28
1056,inquisitor,28
1057,lunch,28
1058,wondering,28
1059,brought,27
1060,study,27
1061,peeves,27
1062,forehead,27
1063,lucius,27
1064,heading,27
1065,pretty,27
1066,decided,27
1067,anxious,27
1068,forced,27
1069,leaned,27
1070,direction,27
1071,drawing,27
1072,cup,27
1073,ink,27
1074,tip,27
1075,cover,27
1076,divination,27
1077,usually,27
1078,certainly,27
1079,crack,27
1080,itself,27
1081,fly,27
1082,starting,27
1083,tower,27
1084,weren,27
1085,directly,27
1086,montague,27
1087,caused,27
1088,frightened,27
1089,grip,26
1090,forgotten,26
1091,recognized,26
1092,handed,26
1093,badge,26
1094,giants,26
1095,pensieve,26
1096,aware,26
1097,shot,26
1098,draco,26
1099,smiled,26
1100,view,26
1101,slipped,26
1102,coolly,26
1103,signs,26
1104,nine,26
1105,knocked,26
1106,horse,26
1107,decree,26
1108,control,26
1109,muggles,26
1110,nearer,26
1111,names,26
1112,n,26
1113,joined,26
1114,facing,26
1115,ravenclaw,26
1116,double,26
1117,shoulders,26
1118,cause,26
1119,lovegood,26
1120,hi,26
1121,longbottom,26
1122,thestrals,26
1123,hiding,26
1124,raising,26
1125,hogsmeade,26
1126,broken,25
1127,swept,25
1128,deal,25
